word1-translated	word2-translated	concQ
پرانا	نئی	2
ہوشیار	ذہین	1
سخت	مشکل	2
خوش ہوں	خوشگوار	1
سخت	آسان	2
تیز	تیز رفتار	2
خوش ہوں	خوش ہوں	1
مختصر	طویل	2
بیوقوف	گونگا	1
عجیب	عجیب	1
وسیع	تنگ	2
برا	خوفناک	1
آسان	مشکل	1
برا	خوفناک	1
سخت	سادہ	2
ہوشیار	گونگا	1
پاگل	پاگل	1
خوش ہوں	پاگل	2
بڑی	بہت بڑا	2
سخت	مشکل	2
نئی	تازه	1
تیز	سست	2
فوری	تیز رفتار	2
گونگا	بیوقوف	1
حیرت انگیز	خوفناک	1
عجیب	طاق	1
خوش ہوں	ناراض	1
تنگ	وسیع	2
سادہ	آسان	1
پرانا	تازه	1
واضح	واضح 	1
سستی	سستا	1
اچھا	بے لوث	1
عجیب	عام	1
عجیب	طاق	1
برا	غیر اخلاقی	1
اداس	مضحکہ خیز	2
حیرت انگیز	زبردست	1
مجرم	شرمندہ	1
خوبصورت	حیرت انگیز	1
اعتماد	یقیناً	1
گونگا	گھنے	2
بڑی	بڑا	2
اچھا	ظالمانہ	1
بے حد	فکر مند	1
بڑا	وسیع	2
مضبوط	مغرور	2
غیر ضروری	ضروری 	1
بے حد	نوجوان	2
گونگا	ذہین	1
برا	زبردست	1
مشکل	سادہ	1
ضروری 	اہم 	1
برا	خوفناک	1
پاگل	خوش	1
ایماندار	مجرم	1
آسان	مشکل	1
آسان	لچکدار	1
کچھ	یقین ہے	1
ضروری	ضروری	1
مختلف	عام	1
مہلک	ہوشیار	1
اہم	اہم	1
سخت	ظالمانہ	1
بچپن	بیوقوف	1
کمر	نایاب	1
دوستانہ	بے لوث	1
خراب	فریب	2
طویل	تنگ	2
بڑا	بھاری	2
کهردرا	فریب	2
عجیب	عجیب	1
غیر قانونی	غیر اخلاقی	1
برا	مجرم	1
جدید	قدیم	1
نئی	قدیم	1
سست	مضحکہ خیز	1
خوش	نوجوان	2
آسان	بڑا	2
زبردست	خوفناک	1
چھوٹے	بہت بڑا	2
شائستہ	مناسب	1
معمولی	شرمندہ	1
غیر ملکی	نایاب	1
گونگا	ہوشیار	1
خوشگوار	حیرت انگیز	1
قابل ذکر	واضح	1
ڈر	فکر مند	1
رسمی	مناسب	1
ڈریری	سست	1
خوشگوار	خوشگوار	1
ناخوش	پاگل	1
اداس	خوفناک	1
بیمار	پاگل	2
پرتشدد	ناراض	2
لادن	بھاری	2
گندی	سستا	2
لچکدار	لچکدار	2
سخت	گھنے	2
حال ہی میں	نئی	2
جرات مندانہ	فخر	1
مہلک	عجیب	1
عجیب	مہلک	1
گونگا	نایاب	1
مہلک	مشکل	1
خوفناک	پاگل	1
معمولی	لچکدار	1
تازه	وسیع	1
بہت بڑا	گونگا	2
بڑی	لچکدار	2
گندی	تنگ	2
بیوی	شوہر	3
کتاب	متن	4
دولہا	دلہن	3
رات	دن	3
جنوب	شمال	3
ہوائی جہاز	ہوائی اڈے	4
چاچا	چاچی	3
گھوڑے	ہمارا	4
نیچے	اوپر	3
دوست	دوست	2
طالب علم	طالب علم	3
دنیا	دنیا	3
ٹانگ	بازو	4
ہوائی جہاز	جیٹ	4
عورت	آدمی	3
گھوڑے	کالٹ	4
اداکارہ	اداکار	3
استاد	انسٹرکٹر	3
فلم	فلم	3
پرندہ	ہاک	4
لفظ	لغت	3
پیسہ	تنخواہ	3
کتا	کیٹ	4
رقبہ	خطے	2
بحریہ	فوج	3
کتاب	ادب	3
کپڑے	الماری	4
غروب آفتاب	طلوع آفتاب	3
بچہ	بالغ	3
گائے	مویشیوں	4
کتاب	کہانی	3
موسم سرما	موسم گرما	3
ٹیکسی	ٹیکسی	4
درخت	میپل	3
بستر	بیڈروم	4
چھت	چھت	4
بیماری	انفیکشن	3
بازو	کندھے	4
بھیڑ	میمنے	4
خاتون	سلیمان	3
کشتی	لنگر	4
پادری	بندر	3
پیر	انگلی	4
دریا	ندی	3
غصہ	غصہ	2
تاریخ	کیلنڈر	3
سمندر	سمندر	4
دوسرا	منٹ	2
ہاتھ	انگوٹھے	4
لکڑی	لاگ ان	4
مٹی	گندگی	4
دالان	راہداری	3
راستہ	انداز	1
ماؤس	کیٹ	4
پولیس	شیرف	3
موت	دفن	3
موسیقی	مہودی	3
بیئر	شراب	4
منہ	ہپ	4
طوفان	طوفان	3
ٹیکس	آمدنی	2
پھول	وایلیٹ	4
کاغذ	گتے	4
فرش	چھت	4
ساحل سمندر	سمندر	3
چھڑی	پردے	3
ہاؤنڈ	لومڑی	3
سڑک	گلی	4
کشتی	ڈیک	4
کار	سینگ	4
دوست	مہمان	2
آجر	ملازم	3
ہاتھ	کلائی	4
گیند	تپ	4
شراب	برینڈی	4
فتح	فتح	1
ٹیلی فون	بوٹ	3
دروازہ	راہ گزر	4
موٹل	سرائے	4
کپڑے	کپڑا	4
سٹیک	گوشت	4
کیل	انگوٹھے	4
بینڈ	آرکسٹرا	4
کتاب	بائبل	4
کاروبار	صنعت	2
موسم سرما	موسم	2
دہائی	صدی	2
شراب	گن	3
ٹوپی	کوٹ	4
ونڈو	دروازہ	4
بازو	کلائی	4
گھر	اپارٹمنٹ	4
گلاس	کرسٹل	3
شراب	برینڈی	4
خالق	بنانے والا	2
رات کا کھانا	ناشتہ	3
بازو	پٹھوں	3
بلبلا	سوڈ	3
روٹی	آٹا	4
موت	سانحہ	2
عدم موجودگی	موجودگی	1
بندوق	تپ	4
گھاس	بلیڈ	4
گیند	ٹوکری	4
نلی	باغ	4
لڑکا	بچہ	3
چرچ	کوائر	3
کپڑے	دراج	3
ٹاور	گھنٹی	4
باپ	والدین	3
اسکول	گریڈ	3
والدین	بالغ	3
بار	جیل	4
کار	ہائی وے	4
لغت	تعریف	3
دروازہ	سیلار	4
فوج	بڑا لشکر	2
دھاتی	ایلومینیم	4
کرسی	بینچ	3
بادل	دھند	3
لڑکا	بیٹا	3
پانی	برف	4
بستر	کمبل	4
اٹارنی	وکیل	3
رقبہ	زون	2
کاروبار	کمپنی	3
کپڑے	کپڑے	3
سویٹر	جیکٹ	4
پیسہ	دارالحکومت	3
ہاتھ	پاؤں	4
شراب	کاکلا	3
یارڈ	انچ	3
انو	ایٹم	2
لینس	کیمرے	4
کھانا	رات کا کھانا	3
آنکھ	آنسو	3
خدا	شیطان	2
لوپ	بیلٹ	3
چوہا	ماؤس	4
موٹر	انجن	4
کار	ٹیکسی	4
کیٹ	شیر	4
سائز	شدت	2
حقیقت	تصور	1
دروازہ	دروازہ	4
کیٹ	پالتو جانور	4
ٹن	ایلومینیم	4
ہڈی	جبڑے	4
اناج	گندم	4
گھر	کلیدی	4
خون	گوشت	3
دروازہ	راہداری	4
خدا	روح	1
صلاحیت	صلاحیت	1
کثرت	کافی	1
سوفا	کرسی	4
دیوار	اینٹوں	4
سینگ	ڈھول	4
عضو	جگر	3
طاقت	شاید	2
جملہ	لفظ	2
بینڈ	پریڈ	3
پیٹ	کمر	4
بادل	طوفان	3
خوشی	فخر	1
شور	گھبراہٹ	3
بارش	دوبد	4
بیئر	مشروبات	4
آدمی	چاچا	3
سیب	رس	4
انٹیلی جنس	منطق	1
مواصلات	زبان	2
منک	فر	3
موک	بھیڑ	3
ساحل	ساحل	3
تار	ہڈی	3
پرندہ	ترکی	4
بستر	کیڑے	4
صلاحیت	صلاحیت	1
بادل	بھولبلییا	3
کھانا	کھانا	3
بار	پنجرا	4
پانی	نمک	4
احساس	انضمام	1
صورت حال	حالت	1
جرم	چوری	2
انداز	فیشن	2
حد	سرحد	2
بازو	جسم	4
کشتی	کار	4
سینڈوچ	دوپہر کا کھانا	3
دلہن	شہزادی	3
نایکا	ہیرو	2
کار	گیج	3
کیڑے	مکھی	4
کٹیا	جھولا	4
جانور	شخص	3
ماریجوانا	جڑی بوٹی	3
بستر	ہسپتال	4
گال	زبان	4
ڈسک	کمپیوٹر	4
وکر	زاویہ	3
گھاس	ماں	4
اسکول	قانون	2
پاؤں	سر	4
ماں	سرپرست	3
آرتھوڈونٹسٹ	دانتوں کا ڈاکٹر	3
شراب	شراب	4
منہ	دانت	4
ناشتہ	بیکن	3
باتھ روم	بیڈروم	3
پلیٹ	کٹورا	4
گوشت	بیکن	4
ہوا	ہیلیم	3
کارکن	آجر	3
جسم	سینے	4
بیٹا	باپ	3
دل	سرجری	3
عورت	سیکرٹری	3
آدمی	باپ	3
ساحل سمندر	جزیرہ	4
کہانی	موضوع	2
کھیل	مزہ	2
ہفتے کے آخر	ہفتے	2
جوڑے	جوڑی	3
عورت	بیوی	3
بھیڑ	مویشیوں	4
پرس	بیگ	4
چھت	گرجا گھر	4
بین	کافی	4
لکڑی	کاغذ	4
اوپر	طرف	3
جرم	دھوکہ	1
درد	نقصان	2
عاشق	ساتھی	3
شام	دوپہر	3
باپ	بیٹی	3
شراب	شراب	4
گائے	بکری	4
یقین	رائے	1
حقیقت	برم	1
معاہدہ	معاہدہ	1
دولت	غربت	1
حادثہ	ایمرجنسی	2
جنگ	فتح	2
دوست	استاد	3
بیماری	انفیکشن	3
کھیل	چال	3
بھائی	بیٹا	3
چاچی	بھتیجے	3
کارکن	میکینک	3
ڈاکٹر	آرتھوڈونٹسٹ	3
اوک	میپل	3
مکھی	ملکہ	3
کار	سائیکل	4
مقصد	تلاش	2
اگست	مہینے	2
فوج	ٹیم	3
بادل	موسم	3
ڈاکٹر	ڈاکٹر	3
کینیا	وادی	4
دریا	وادی	4
سورج	آسمان	3
ہدف	تیر	3
چاکلیٹ	پائی	4
حالات	صورت حال	1
رائے	انتخاب	1
تال	مہودی	2
گٹ	اعصابی	3
دن	ڈان کی	3
مویشیوں	گوشت	3
ڈاکٹر	پروفیسر	4
بازو	رگ	4
کمرے	غسل	4
کارپوریشن	کاروبار	2
مزہ	فٹ بال	2
پہاڑی	کلف	4
ہڈی	ٹخن	4
سیب	کینڈی	4
مددگار	نوکرانی	3
رہنما	مینیجر	3
لیموں	چائے	4
مکھی	اینٹی	4
باسکٹ بال	بیس بال	4
چاول	بین	4
بستر	فرنیچر	4
جذبات	جذبہ	1
انتشار	افراتفری	1
جرم	خلاف ورزی	2
مشین	انجن	3
ساحل سمندر	سمندر	4
گلی	کٹورا	4
جار	بوتل	4
طاقت	صلاحیت	1
بیج	سرواں	4
گٹار	ڈھول	4
رائے	خیال	1
شمال	مغرب	3
غذا	ترکاریاں	3
ماں	بیوی	3
والد صاحب	ماں	3
کپتان	نااخت	3
میٹر	یارڈ	4
بیئر	شیمپین	4
موٹر	کشتی	4
کارڈ	پل	4
سائنس	نفسیات	1
گنہگار	سنت	2
تباہی	تعمیراتی	2
بھیڑ	گروپ	3
ساحل سمندر	ریف	4
آدمی	بچہ	4
روٹی	پنیر	4
چیمپئن	فاتح	2
جشن	تقریب	2
مینو	آرڈر	3
بادشاہ	شہزادی	3
دولت	وقار	1
برداشت	طاقت	1
خطرہ	خطرہ	2
خدا	پادری	2
مردوں	برادری	2
دوست	ساتھی	2
استاد	مددگار	3
جسم	پیٹ	4
زبان	حلق	4
گھر	قالین	4
انٹیلی جنس	مہارت	1
سفر	فتح	1
خدا	شکار	2
بھائی	روح	2
مخالف	مخالف	2
موت	تباہی	2
راکشس	راکشس	2
دن	صبح	2
آدمی	فاتح	3
دوست	لڑکے	3
نغمہ	کہانی	3
کرن	دھوپ	3
لڑکے	جڑنا	3
چکن	چاول	4
ڈبہ	لفٹ	4
مکھن	آلو	4
اپارٹمنٹ	فرنیچر	4
جھیل	دلدل	4
ترکاریاں	سرکہ	4
پھول	بلب	4
بادل	دوبد	3
ڈرائیور	پائلٹ	3
شکر	شہد	4
جسم	کندھے	4
خیال	تصویر	2
باپ	بھائی	3
چاند	سیارے	4
گیند	کپڑے	4
ریل	باڑ	4
کمرے	بستر	4
پھول	بش	4
ہڈی	گھٹنے	4
بازو	گھٹنے	4
نیچے	طرف	3
برتن	رگ	3
کیٹ	خرگوش	4
گوشت	سینڈوچ	4
یقین	تصور	1
انٹیلی جنس	بصیرت	1
توجہ	دلچسپی	1
رویہ	اعتماد	1
دائیں	انصاف	1
دلیل	معاہدہ	1
گہرائی	شدت	2
درمیانی	خبریں	2
فاتح	امیدوار	2
سالگرہ	تاریخ	2
فیس	ادائیگی	3
بائبل	حمد	3
باہر نکلیں	دروازے	3
آدمی	بھیجا	3
گلیارے	ہال	3
شراب	گن	3
خون	میرو	3
تیل	منک	4
فرش	ڈیک	4
چھت	فرش	4
دروازہ	فرش	4
کندھے	سر	4
وگن	گاڑی	4
کار	گاڑی	4
کہنی	ٹخن	4
دولت	شہرت	1
غم	شرمندگی	1
انتظامیہ	انتظام	2
مواصلات	بات چیت	2
آلودگی	ماحول	2
اناتومی	حیاتیات	2
کالج	پیشہ	3
کتاب	موضوع	3
فارمولہ	مساوات	3
کتاب	معلومات	3
لڑکا	شراکت دار	3
آسمان	کائنات	3
آبادی	لوگ	3
کالج	کلاس	3
چیف	میئر	3
ربیبی	وزیر	3
میٹر	انچ	3
پالئیےسٹر	کپاس	3
وکیل	بینکر	3
وایلن	آلے	3
کیمپ	کیبن	3
برتن	آلات	3
کپڑے	کپڑے	3
شراب	شیمپین	4
لڑکی	بچہ	4
کاٹیج	کیبن	4
پرندہ	ین	4
ریکیٹ	شور	3
غروب آفتاب	شام	3
بہاؤ	بارش	3
بالغ	بچه	3
چارکول	کوئلہ	4
جسم	ریڑھائی	4
سر	کیل	4
لاگ ان	لکڑی	4
چمچ	کپ	4
جسم	اعصابی	3
آدمی	شوہر	3
ہڈی	گردن	4
مایوسی	غصہ	1
دریا	سمندر	4
کام	ملازمت	2
کلب	سماج	2
عکس	تصویر	2
شہزادہ	بادشاہ	3
برف	موسم	3
لوگ	پارٹی	3
لڑکا	بھائی	3
جڑ	گھاس	3
برو	آنکھ	3
پیسہ	موتی	3
پیسہ	ہیرے	3
گاڑی	بس	4
ٹیکسی	بس	4
گھر	بنو	4
انگلی	کھجور	4
کار	پل	4
کوشش	مشکل	1
حقیقت	بصیرت	1
ملازمت	انتظام	2
کینسر	بیماری	2
لفظ	اخبار	3
موسیقار	مصنف	3
اداکار	گلوکار	3
پناہ گاہ	ہٹ	3
باتھ روم	باورچی خانه	4
کیبن	ہٹ	4
دروازہ	باورچی خانه	4
قدر	یقین	1
حکمت	انٹیلی جنس	1
جہالت	انٹیلی جنس	1
خوشی	قسمت	1
خیال	سکیم	1
موڈ	جذبات	1
خوشی	امن	1
نا امید	مصیبت	1
منطق	ریاضی	1
انکار	اقرار	1
دلیل	تنقید	1
جارحیت	دشمنیت	1
ہیسٹریا	الجھن	1
کیمسٹری	نظریہ	1
آزمائش	فیصلے	2
آرام	حفاظت	2
اعتماد	خود	2
اولین مقصد	خیال	2
دور	دہائی	2
جیونی	فکشن	2
بحث	دلیل	2
کوڈ	علامت	2
خطرہ	بیماری	2
حادثہ	تباہی	2
سفر	سفر	2
سرگرمی	تحریک	2
گپ شپ	خبریں	2
باپ	خدا	2
عمل	کورس	2
بخار	بیماری	2
ایوی ایشن	پرواز	2
کھیل	عمل	2
انو	ہوا	2
گھر	حالت	3
لفظ	ادب	3
بالغ	سرپرست	3
اخبار	معلومات	3
مواصلات	ٹیلی ویژن	3
کزن	چاچا	3
مصنف	ریڈر	3
لڑکے	شراکت دار	3
رقبہ	کونے	3
بلڈاد	نغمہ	3
دیوار	سجاوٹ	3
لفظ	صفحہ	3
نرس	سائنسدان	3
سیاست دان	صدر	3
صدر	میئر	3
کتاب	مضمون نویسی	3
آدمی	جنگجو	3
مضمون	جرنل	3
ناشتہ	کھانا	3
بھیڑ	پریڈ	3
گلیارے	دالان	3
استاد	ربیبی	3
ہپ	ہپ	3
کتاب	مضمون	3
کمرے	سیل	3
ڈبہ	بوٹ	3
بیٹی	بچہ	3
انگلی	ٹانگ	4
جگر	پھیپھڑوں	4
کلاس روم	دالان	4
پہاڑ	قیادت	4
کار	لفٹ	4
بستر	سوفی	4
کپڑے	بٹن	4
کپڑے	کوٹ	4
گردہ	عضو	4
سیب	چٹنی	4
چکن	سٹیک	4
کار	نلی	4
تمباکو	سگریٹ	4
طالب علم	پروفیسر	4
بچه	بیٹی	4
پائپ	سگریٹ	4
دودھ	رس	4
ڈبہ	سگریٹ	4
اپارٹمنٹ	ہوٹل	4
کپ	شنک	4
گھوڑے	بیل	4
حلق	ناک	4
ہڈی	دانت	4
ہڈی	کہنی	4
بیکن	بین	4
کپ	جار	4
ثبوت	حقیقت	2
تقرری	مصروفیت	2
سالگرہ	سال	2
لفظ	اشارہ	2
مصنف	خالق	2
ایٹم	کاربن	3
آرکائشی	بش	3
خط	پیراگراف	3
صفحہ	پیراگراف	3
کھڑی	چیپل	3
پٹھوں	ہڈی	3
پٹھوں	زبان	3
لڑکا	فوجی	4
پیٹ	پیٹ	4
لڑکے	لڑکی	4
بستر	کرسی	4
کپڑے	جیکٹ	4
بندوق	چاقو	4
ٹن	دھاتی	4
بوتل	کنٹینر	4
ین	ترکی	4
گوشت	روٹی	4
بازو	ہڈی	4
گردن	ریڑھائی	4
سیب	لیموں	4
پریشانی	غم	1
تفویض	کام	2
رات	ڈان کی	3
رات کا کھانا	سوپ	3
بچہ	بیل	3
برف	طوفان	4
کیل	ہاتھ	4
کتا	گھوڑے	4
بازو	گردن	4
گیند	دستانے	4
فلو	بخار	2
فیس	تنخواہ	3
اعصابی	دماغ	3
جانور	جانور	3
رات کا کھانا	چکن	3
لڑکی	نوکرانی	4
بچہ	لڑکا	4
شراب	شراب	4
ناک	منہ	4
سڑک	کار	4
گھنٹی	دروازہ	4
ڈبہ	ٹوپی	4
یقین	تاثر	1
تعصب	رائے	1
توجہ	شعور	1
غصہ	موڈ	1
خوبصورتی	انداز	1
خوبصورتی	عمر	2
کتاب	خیالیہ	3
دوست	ماں	3
وٹامن	لوہے	3
کار	فیکٹری	4
معاہدہ	حالت	1
باب	انتخاب	2
ریاضی	تال	2
فاتح	موجودگی	2
یقین	پھول	2
فاتح	مقصد	2
چال	سائز	2
انتخاب	رگ	2
حمد	فتح	2
برداشت	بینڈ	2
جیل	انتخاب	2
حالت	لڑکا	2
پھول	برداشت	2
سوراخ	معاہدہ	2
ڈاکٹر	مزاج	2
برادری	دروازہ	2
کام	عورت	2
برادری	بیس بال	2
سینٹ	سائز	2
موجودگی	دروازہ	3
ماؤس	انتظام	3
کام	ہائی وے	3
شراب	صدی	3
کام	اسٹرک	3
جزیرہ	کام	3
رات	باب	3
آلودگی	صدر	3
بندوق	چال	3
غسل	چال	3
غذا	سیب	3
سینٹ	بیوی	3
باب	دم	3
کورس	پیٹ	3
حمد	اسٹرک	3
دانتوں کا ڈاکٹر	کالونی	3
بیوی	اسٹرک	3
سوراخ	بیوی	3
طالب علم	صدر	3
غسل	بیوی	3
لوگ	سینٹ	3
فارمولہ	لاگ ان	3
عورت	فر	3
سیب	دھوپ	3
بندوق	ڈان کی	3
کھانا	کمر	3
کیمرے	صدر	3
شراب	بینڈ	3
پیٹ	رگ	4
بندوق	فر	4
سوفی	بیس بال	4
کارکن	کیمرے	4
ڈیک	ماؤس	4
چاول	لڑکا	4
لوگ	بندوق	4
کلف	دم	4
ٹخن	ونڈو	4
شہزادی	جزیرہ	4
کنٹینر	ماؤس	4
وگن	کنٹینر	4
لوگ	بیلون	4
ڈالر	لوگ	4
غسل	بیلون	4
پیٹ	بیڈروم	4
سائیکل	بیڈروم	4
لاگ ان	غسل	4
کٹورا	دم	4
جاؤ	آو	2
لے لو	چوری	2
سننا	سننا	2
سوچنا	منطقی	1
واقع	ہو	1
غائب	غائب ہو	2
ضرب	تقسیم	2
درخواست	بھگوان	2
شروع	ابتداء	1
حفاظت	دفاع	1
قتل کرو	تباہ	2
بنانا	بناؤ	2
قبول	رد	2
نظر انداز	پرہیز	1
لے لو	لانے	2
چھوڑ	درج	2
منتخب	چننا	1
کھو	ناکام	2
حوصلہ افزائی	دل شکستہ	1
حاصل	پورا	1
بناؤ	تعمیر	2
سننا	اطاعت	2
مطلع	مطلع	2
وصول	دے	2
قرض	مانگنا	2
لے لو	حاصل	2
مشورہ	تجویز	1
نقل	بیان	1
جیت	کامیاب	1
سوچنا	فیصلہ	1
سلام	ملیں	2
متفق	بحث	1
لطف اندوز	تفریح	1
تباہ	بناؤ	2
بچاؤ	حفاظت	2
دے دو	قرض دو	2
سمجھو	پتہ	1
لے لو	وصول کریں	2
قبول کرو	تسلیم کرتے ہیں	1
فیصلہ کرنا	منتخب کریں	1
قبول کرو	یقین	1
رکھو	مالک	1
روام	گھومنا	1
کامیاب	ناکام	2
خرچ کرو	بچاؤ	2
چھوڑ دو	جاؤ	2
آو	حاضری	2
پتہ	یقین	1
جمع	ملیں	2
بناؤ	کماتے	1
بھول جاؤ	نظر انداز	1
ضرب	شامل	2
سکڑیں	بڑھو	2
آو	چھوڑ دو	2
کامیاب	کوشش	1
قبول کرو	انکار	2
آو	آو	2
متفق ہوں	مختلف	1
بھیجیں	وصول	2
جیت	غلبہ	1
شامل	تقسیم	2
قتل	گلا گھونٹنا	3
حاصل	حاصل	2
حصہ لیں	شامل	2
چھوڑ دو	رہیں	1
جاؤ	درج	2
لے لو	لے لو	2
بھول جاؤ	سیکھنا	1
مقرر کریں	چننا	1
مشغول	شادی کرو	1
پوچھو	دعا کرو	2
جاؤ	بھیجیں	2
لے لو	فراہم کرو	2
بات کرو	سننا	2
تجزیہ کریں	اندازہ	1
بحث کریں	منطقی	1
کھو	رکھو	1
موازنہ کریں	تجزیہ کریں	1
غیر منظم	منظم	1
جاؤ	اجازت دیں	2
لے لو	مالک	2
سیکھنا	سننا	2
تباہ	تعمیر	2
بنانا	تعمیر کرو	2
چوری	خریدنے	2
قتل کرو	پھانسی	3
بھول جاؤ	پتہ	1
بنانا	تصور	1
کیا	ہو	1
جیت	پورا	1
دے دو	انکار	1
مستحق	کماتے ہیں	1
حاصل کرو	ڈالیں	1
تلاش کریں	مل	2
ظاہر	حاضری	2
پتہ	سمجھو	1
دکھاؤ	تصور	1
مطمئن	براہ کرم	1
چیری	رکھو	1
بحث کریں	مختلف	1
پر قابو پانے	غلبہ	1
سلوک کرنا	اطاعت کرو	1
تعاون کریں	حصہ لیں	1
حاصل کریں	کوشش کریں	1
ناکام	ہراساں کرنا	1
شروع کرو	چھوڑ دو	1
کہہ دو	حصہ لیں	1
آو	لانے	2
اعلان کریں	اعلان کریں	2
پڑھو	سمجھو	2
لے لو	چھوڑ دو	2
اعلان کرو	اعلان کریں	2
حاصل	حاصل کریں	2
اختتام کریں	فیصلہ کرنا	1
براہ کرم	درخواست	1
بحث کریں	ثابت کرو	1
پوچھو	درخواست	1
مل	غائب ہو	2
معائنہ	جانچ پڑتال کریں	2
تصدیق کریں	مستحق	1
فرض کرو	پیش گوئی	1
سیکھنا	اندازہ	1
بحث کریں	مستحق	1
بناؤ	بن	1
دریافت	ابتداء	1
حاصل کریں	کامیاب	1
دے دو	ڈالیں	2
سمجھو	سننا	2
توسیع	بڑھو	2
قرض لے	فروخت	2
رکھو	حفاظت کرو	2
وضاحت کریں	ثابت کرو	1
فرض کرو	دکھاؤ	1
متفق ہوں	براہ کرم	1
معاف کر دو	بھول جاؤ	1
واضح	وضاحت کریں	1
سمجھو	معاف کر دو	1
یاد رکھیں	بھول جاؤ	1
حاصل کرو	رہیں	1
احساس	دریافت	1
ضرورت ہے	پوچھ گچھ	1
نظر انداز	پوچھو	1
سوچنا	پوچھ گچھ	1
رد کرنا	سے بچیں	1
بحث کریں	رضاکارانہ	1
پیچھا کرنا	رضاکارانہ	1
قبول کرو	معاف کر دو	1
کیا	چھوڑ دو	1
تحقیقات	جانچ پڑتال کریں	1
بحث کریں	وضاحت کریں	1
الوداع	قرض دو	1
تلاش کریں	دریافت	2
شکایت	بحث کریں	2
واپس لے لو	رد کرنا	2
رکھو	قرض لے	2
بھگوان	پوچھو	2
بندوبست کریں	منظم	2
کم	سکڑیں	2
بات کرو	تسلیم کرتے ہیں	2
دے دو	قرض لے	2
قتل کرو	دفاع کرو	2
غائب ہو	سکڑیں	2
فراہم کرو	لے لو	2
سانس لینے	گلا گھونٹنا	3
تسلیم کرتے ہیں	مطلع	1
بن	لگتا ہے	1
دکھاؤ	لگتا ہے	1
پورا	بن	1
خیال رکھنا	سوچنا	1
تعین کریں	پیش گوئی	1
براہ کرم	تفریح	1
رہیں	برقرار رکھو	1
دکھاؤ	بیان کیا	1
بھول جاؤ	برقرار رکھو	1
چاہتے ہیں	منتخب کریں	1
کھو	حاصل کرو	1
کوشش کریں	سوچنا	1
بن	ظاہر	1
چھوڑ دو	نظر انداز	1
قبول کرو	تجویز کرو	1
چھوڑ دو	گھومنا	1
رکھو	دے دو	2
دے دو	اجازت دیں	2
لانے	بھیجیں	2
جذب	سیکھنا	2
حاصل	مل	2
چھوڑ دو	ظاہر	2
بنانا	تباہ	2
شروع کرو	جاؤ	2
حاصل کرو	خریدنے	2
جمع	بچاؤ	2
تبدیل کریں	بحال کریں	2
شامل ہونا	شامل کریں	2
شامل ہونا	شادی کرو	2
قبول کرو	فراہم کرو	2
منسلک کریں	شامل ہونا	2
ڈالیں	پھانسی	2
جاؤ	فروخت	2
بات چیت	دعا کرو	2
دے دو	چوری	2
شامل کریں	تعمیر کرو	2
لانے	بحال کریں	2
سمجھو	مطمئن	1
بیان کیا	فیصلہ کرنا	1
منظم	بن	1
دے دو	پتہ	1
کہہ دو	تصدیق کریں	1
تعاون کریں	شامل ہونا	1
بندوبست کریں	ضرورت ہے	1
قرض لے	چاہتے ہیں	1
تحقیقات	پیچھا کرنا	1
نظر انداز	تلاش کریں	1
لانے	شکایت	1
درج کریں	الوداع	1
بیان کیا	مطلع	2
یاد رکھیں	فروخت	2
جذب	مالک	2
شامل ہونا	حاصل	2
بھیجیں	حاضری	2
جمع	حاضری	2
جذب	واپس لے لو	2
حاضری	آو	2
